rtu_name,scans_good,scans_bad,bytes_transmited,bytes_recived,scan_type_command,scan_type_init,scan_type_spont,nro_alertas
VENTANILLA,206526,218,1035100,6028379,9,0,0,0
COLCABAMBA,1273632,4,957962,42805077,5,84,1273534,18
SURIRAY,1196775,0,898452,33639573,3,0,1196748,0
SANNICOLAS,80266,24689,525020,1606073,3,0,0,0
SOCABAYA_N,1966832,0,1475994,62405723,3,0,1966805,0
PARIÑAS,2597092,0,1948674,117231767,6,0,2597062,0
TRUJILLNUEV,156492,1358,797820,10425832,2,4,0,0
TINGOMARIA_N,473264,0,355620,17499986,3,0,473237,0
OROYA_N,2056351,0,1542822,58451616,3,0,2056324,0
HUANUCO,238679,14,1193580,3298670,3,0,0,0
HUAYUCACHI,275898,0,1379620,1681494,7,0,0,0
QUENCORO_N,1930640,0,1449736,53912586,3,0,1930612,0
OLLEROS,241435,521,1211870,2742703,3,0,0,0
LANINA_N,2033910,0,1527228,59309051,3,0,2033883,0
YARABAMBA,4142603,0,3108144,213084020,3,0,4142576,0
PARAGSHA2,89308,183,448430,1956516,3,0,0,0
AUCAYACU_N,500373,0,375936,18787096,3,0,500346,0
HUANCAVEL_N,2218770,0,1665028,61825814,5,0,2218742,0
CHAVARRIA,190737,999,1191460,2691077,3,0,0,0
PUNO_N,359920,0,271140,11843780,3,0,359893,0
JULIACA_N,150530,0,113740,5481779,4,0,150502,0
MARCONA,5580945,0,4186904,209276275,8,0,5580913,0
CARABAYLLO,240561,792,1209990,7063345,29,485,0,45
GUADALUPE_N,1477013,0,1108846,41294110,7,0,1476982,0
PARAGSHA_NVA,188932,365,948685,9254587,7,5,0,0
HUANUCO_N,1426167,0,1070862,38879144,9,0,1426134,0
CARHUAMAYO,188064,141,941940,8469128,3,0,0,0
PIURA2_N,3226113,0,2423488,92104329,148,0,3225941,0
CHIMBOTE1_N,149941,0,113016,8405140,12,0,149905,0
VIZCARRA,51173,5,255965,3082427,3,0,0,0
TINGOM_ETS_N,434473,0,326870,32595273,5,0,434444,0
PLANICIE,215423,254,1079865,5475599,7,0,0,0
DESIERTO,144475,201,723435,4757210,3,0,0,0
MOQUEGUA_N,89425,0,67512,4261280,3,0,89398,0
SANJUAN_N,1031412,0,775118,28491649,5,0,1031383,0
ICA,166157,87,834085,11900217,55,0,0,0
ZORRITOS_N,776795,0,584486,21631372,8,0,776763,0
MOLLEPATA,2173808,0,1631082,62092305,3,0,2173781,0
TALARA N,189356,0,143254,5161074,7,0,189325,0
CARAPONGO,709608,0,532654,30860607,4,0,709580,0
INDUSTRIALES,254572,0,191436,7359091,3,0,254545,0
