rtu_name,scans_good,scans_bad,bytes_transmited,bytes_recived,scan_type_idle,scan_type_command,scan_type_init,tipo_evento
CHICLAYO_N,1636872,2,1228688,57325736,0,3,5,1
REQUE,1633027,0,1225808,49743419,0,9,2,1
SANROS_N,1626878,0,1221182,47062522,0,4,1,1
COTARUSE_N,1626398,0,1220548,52426684,0,3,1,1
COTARUSE_N,1624249,0,1218984,52561160,0,7,1,1
COTARUSE_N,1622987,0,1217854,52490590,0,3,1,1
SANROS_N,1622155,0,1217614,47018093,0,3,1,1
QUENCORO_N,1621635,2,1217892,46914347,0,3,12,1
COTARUSE_N,1618293,0,1214418,52369308,0,2,1,1
REQUE,1617504,0,1214140,49787598,0,3,4,1
COTARUSE_N,1616288,0,1212868,52431503,0,3,1,1
COTARUSE_N,1616099,0,1212944,52404120,0,7,1,1
QUENCORO_N,1613929,2,1212304,46487178,0,3,13,1
SANROS_N,1612426,0,1210458,46846538,0,11,1,1
SANROS_N,1610521,1,1209072,46932614,0,8,5,1
COTARUSE_N,1610479,0,1208678,52144914,0,4,1,1
COTARUSE_N,1605980,0,1205208,52038985,0,5,1,1
CHICLAYO_N,1596414,0,1198430,55606120,0,3,6,1
REQUE,1596212,1,1198702,48447176,0,44,2,1
SANROS_N,1596030,0,1198038,46151825,0,5,1,1
COTARUSE_N,1595482,0,1197214,52072698,0,3,1,1
COTARUSE_N,1595123,0,1197088,52113855,0,3,1,1
COTARUSE_N,1594528,0,1196674,52071911,0,3,1,1
COTARUSE_N,1591703,0,1194592,52021572,0,5,1,1
CHICLAYO_N,1591438,0,1196452,56092694,0,135,1,1
REQUE,1579772,0,1185822,48372473,0,3,3,1
COTARUSE_N,1578564,0,1184542,51998065,0,3,1,1
COTARUSE_N,1573802,0,1181068,51845259,0,3,1,1
COLCABAMBA,1572621,15,1181150,63246548,0,3,53,1
REQUE,1568090,0,1177052,47852357,0,7,1,1
REQUE,1567857,0,1176796,47644505,0,3,2,1
SANROS_N,1565035,0,1174762,45052274,0,3,1,1
COTARUSE_N,1559217,0,1170158,51498633,0,3,2,1
MOLLEPATA,1553692,0,1167542,44601071,0,3,50,1
CHICLAYO_N,1552537,0,1166326,54718185,0,63,1,1
