01/16/21 18:20:12 rep1sca01 scada_alarm[2783]: rep1sca01   OSI_SYSTEM      AUTO-ACK:CLASS  01/16/21 18:20:12   03080098 PARAMO NUE 66                     T113-261 TENSION V-TR            RETORNO A NORMAL                              66.2       4

01/16/21 18:20:13 rep1sca01 scada_alarm[2783]: rep1sca01   OSI_SYSTEM      AUTO-ACK:CLASS  01/16/21 18:20:13   03011F85 AZANGARO 22.9                     B1 TENSION                       RETORNO A LIMITE INFERIOR 1                   22.3       4

01/16/21 18:20:14 rep1sca01 osi_alarm_check[2750]: rep1sca01   OSI_SYSTEM      AUTO-ACK:RTN    01/16/21 18:20:14   03080098 PARAMO NUE 66                     T113-261 TENSION V-TR            LIMITE INFERIOR 1 EXCEDIDO                    66.1       4

01/16/21 18:20:17 rep1sca01 scada_alarm[2783]: rep1sca01   OSI_SYSTEM      AUTO-ACK:CLASS  01/16/21 18:20:17   03042048 HUANCAVEL 10                      T9-261 PL3 TENSION V-RS          RETORNO A NORMAL                              10.2       4

01/16/21 18:20:18 rep1sca01 osi_alarm_check[2750]: rep1sca01   OSI_SYSTEM      AUTO-ACK:RTN    01/16/21 18:20:18   03042048 HUANCAVEL 10                      T9-261 PL3 TENSION V-RS          LIMITE SUPERIOR 1 EXCEDIDO                    10.3       4

01/16/21 18:20:25 rep1sca01 scada_alarm[2783]: rep1sca01   OSI_SYSTEM      AUTO-ACK:CLASS  01/16/21 18:20:25   03061529 ICA 10                            T112-261 TENSION V-ST            RETORNO A NORMAL                              10.5       4

01/16/21 18:20:25 rep1sca01 scada_alarm[2783]: rep1sca01   OSI_SYSTEM      AUTO-ACK:CLASS  01/16/21 18:20:25   03061530 ICA 10                            T112-261 TENSION V-TR            RETORNO A NORMAL                              10.5       4

01/16/21 18:20:26 rep1sca01 osi_alarm_check[2750]: rep1sca01   OSI_SYSTEM      AUTO-ACK:RTN    01/16/21 18:20:26   02071134 LA_BREA 66                        T122-261 IN-6358                 CAMBIO DE ESTADO                          ABIERTO        1

01/16/21 18:20:26 rep1sca01 osi_alarm_check[2750]: rep1sca01   OSI_SYSTEM      AUTO-ACK:RTN    01/16/21 18:20:26   03061530 ICA 10                            T112-261 TENSION V-TR            LIMITE SUPERIOR 1 EXCEDIDO                    10.6       4

01/16/21 18:20:28 rep1sca01 osi_alarm_check[2750]: rep1sca01   OSI_SYSTEM      AUTO-ACK:RTN    01/16/21 18:20:28   02071134 LA_BREA 66                        T122-261 IN-6358                 CAMBIO DE ESTADO                          INDETERMINADO  1

