id_rtufecha,scans_good,scans_bad,bytes_transmited,bytes_recived,scan_type_periodic,scan_type_idle,scan_type_command,scan_type_init,scan_type_spont,enviados,fallidos,alarmas,duracion_int,tipo_evento
44249PUCALLPA_N,163602,8,124548,31547676,24,0,63,9,163514,4,4,0,0,2
44249PARAMONGA_N,2212310,1,1661110,62312379,24,0,35,0,2212252,18,9,0,0,2
44249POROMA,770958,0,579480,21472698,24,0,3,0,770931,8,6,0,0,2
44250HUACHO,117680,183,590455,6552985,0,117855,8,0,0,1,1,2,8,1
44250TRUJILLNUEV,145291,1358,742160,10615494,0,146642,7,0,0,2,2,1,16,2
44250MARCONA,5568065,0,4177174,212985627,24,0,4,0,5568037,0,1,0,0,2
44250PARAGSHA_NVA,183992,361,923905,9017028,0,184338,7,8,0,1,1,5,65,2
44250HUANUCO_N,1346767,0,1011252,36621244,24,0,6,0,1346737,3,1,1,2,1
44250PIURA2_N,3699026,2,2776578,107606690,24,0,44,0,3698960,23,19,0,0,2
44250PLANICIE,206249,320,1038920,6033827,0,206511,54,4,0,38,3,1,8,1
44250ICA,179140,83,896765,10030430,0,179205,18,0,0,19,19,1,220,2
44250CHIMBOTENVA_N,665277,1,499888,18295295,24,0,11,0,665243,4,2,0,0,2
44250INDEPE_N,672958,0,504816,27659125,0,0,3,0,672955,28,1,15,96,1
44250REQUE,1596212,1,1198702,48447176,24,0,44,2,1596143,38,1,0,0,2
44250AGUAYTIA_N,458834,0,344958,94854251,24,0,3,0,458807,1,1,0,0,2
44250PARAMONGA_N,2335082,0,1753360,65978989,24,0,49,0,2335009,12,5,0,0,2
44251TOCACHE_N,846088,30,636518,23171148,24,0,5,30,846059,6,1,3,796,1
44251TRUJILLNUEV,146946,1305,750975,10881879,0,148244,5,2,0,2,2,1,76,2
44251AUCAYACU_N,579281,0,435216,20209484,24,0,5,1,579251,6,6,1,16,2
44251PARAGSHA_NVA,181897,364,913480,8956985,0,182252,4,5,0,4,4,6,173,2
44251HUANUCO_N,1390183,0,1043890,37778352,24,0,6,1,1390152,3,1,2,25,1
44251PIURA2_N,3803831,0,2855060,111059583,24,0,28,1,3803778,9,7,1,15,1
44251PLANICIE,205150,277,1032830,6526251,0,205382,43,2,0,31,3,1,46,1
44251ICA,165027,85,828495,12342954,0,165088,22,2,0,23,23,1,79,2
44251CHIMBOTENVA_N,671499,0,504524,18478093,24,0,7,1,671467,9,6,1,15,2
44251INDEPE_N,872389,0,654422,36890394,0,0,3,2,872384,26,2,14,2102,2
44251AGUAYTIA_N,457393,0,343920,94797000,24,0,5,1,457363,1,1,1,18,1
44251PARAMONGA_N,2340668,0,1757302,66228643,24,0,27,1,2340616,13,4,1,18,1
44252TOCACHE_N,891466,29,670744,24472479,24,0,25,24,891422,3,3,3,630,1
44252TRUJILLNUEV,142906,1456,731625,11314463,0,144355,5,2,0,6,6,0,0,2
44252MARCONA,5539284,0,4155592,213187135,24,0,3,1,5539256,2,3,0,0,2
44252PIURA2_N,3935935,0,2953910,115668853,24,0,13,1,3935897,16,13,0,0,2
44252ICA,172054,83,863420,11084253,0,172104,31,2,0,21,21,0,0,2
44252CHIMBOTENVA_N,731324,0,549444,20130549,24,0,11,1,731288,8,6,0,0,2
44252INDEPE_N,760079,0,570166,32073177,0,0,3,1,760075,24,2,10,100,1
44252AGUAYTIA_N,458791,0,344976,94841582,24,0,5,1,458761,1,1,0,0,2
44252PARAMONGA_N,2358254,0,1770582,66787979,24,0,35,1,2358194,14,6,1,44,1
